All hps: 2023-07-12 02:39:50 model=pt_resnet dataset=mnist attack=square_l2 n_ex=1000 eps=0.05 p=0.05 n_iter=100
Clean accuracy: 8.10%
Initial square side=5 for bumps
1: acc=8.00% acc_corr=98.77% avg#q_ae=1.0 med#q_ae=1.0 s=6->7, n_ex=81, 0s, loss=2.356, max_pert=0.1, impr=24
2: acc=8.00% acc_corr=98.77% avg#q_ae=1.0 med#q_ae=1.0 s=6->3, n_ex=81, 0s, loss=2.348, max_pert=0.1, impr=39
3: acc=7.90% acc_corr=97.53% avg#q_ae=2.5 med#q_ae=2.5 s=6->3, n_ex=81, 0s, loss=2.336, max_pert=0.1, impr=38
4: acc=7.90% acc_corr=97.53% avg#q_ae=2.5 med#q_ae=2.5 s=6->3, n_ex=81, 0s, loss=2.332, max_pert=0.1, impr=43
5: acc=7.90% acc_corr=97.53% avg#q_ae=2.5 med#q_ae=2.5 s=6->3, n_ex=81, 0s, loss=2.321, max_pert=0.1, impr=61
6: acc=7.90% acc_corr=97.53% avg#q_ae=2.5 med#q_ae=2.5 s=6->3, n_ex=81, 0s, loss=2.319, max_pert=0.1, impr=30
7: acc=7.90% acc_corr=97.53% avg#q_ae=2.5 med#q_ae=2.5 s=6->3, n_ex=81, 0s, loss=2.317, max_pert=0.0, impr=36
8: acc=7.90% acc_corr=97.53% avg#q_ae=2.5 med#q_ae=2.5 s=6->3, n_ex=81, 0s, loss=2.313, max_pert=0.1, impr=38
9: acc=7.90% acc_corr=97.53% avg#q_ae=2.5 med#q_ae=2.5 s=6->3, n_ex=81, 0s, loss=2.311, max_pert=0.0, impr=25
10: acc=7.90% acc_corr=97.53% avg#q_ae=2.5 med#q_ae=2.5 s=6->3, n_ex=81, 0s, loss=2.308, max_pert=0.1, impr=27
11: acc=7.90% acc_corr=97.53% avg#q_ae=2.5 med#q_ae=2.5 s=6->3, n_ex=81, 0s, loss=2.305, max_pert=0.1, impr=28
12: acc=7.90% acc_corr=97.53% avg#q_ae=2.5 med#q_ae=2.5 s=6->3, n_ex=81, 0s, loss=2.302, max_pert=0.1, impr=34
