All hps: 2023-07-11 23:21:39 model=pt_resnet dataset=mnist attack=square_l2 n_ex=100 eps=0.05 p=0.05 n_iter=10000
Clean accuracy: 9.00%
Initial square side=5 for bumps
1: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->7, n_ex=9, 0s, loss=2.409, max_pert=0.0, impr=3
2: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->7, n_ex=9, 0s, loss=2.407, max_pert=0.0, impr=2
3: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->7, n_ex=9, 0s, loss=2.403, max_pert=0.0, impr=4
4: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->7, n_ex=9, 0s, loss=2.402, max_pert=0.0, impr=2
5: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->7, n_ex=9, 0s, loss=2.396, max_pert=0.0, impr=6
6: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->7, n_ex=9, 0s, loss=2.387, max_pert=0.0, impr=4
7: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->7, n_ex=9, 0s, loss=2.383, max_pert=0.1, impr=3
8: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->7, n_ex=9, 0s, loss=2.379, max_pert=0.0, impr=7
9: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->7, n_ex=9, 0s, loss=2.377, max_pert=0.1, impr=3
10: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->7, n_ex=9, 0s, loss=2.372, max_pert=0.0, impr=5
11: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->7, n_ex=9, 0s, loss=2.369, max_pert=0.0, impr=3
12: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->5, n_ex=9, 0s, loss=2.368, max_pert=0.0, impr=2
13: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->5, n_ex=9, 0s, loss=2.361, max_pert=0.0, impr=5
14: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->5, n_ex=9, 0s, loss=2.359, max_pert=0.1, impr=3
15: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->5, n_ex=9, 0s, loss=2.358, max_pert=0.0, impr=2
16: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->5, n_ex=9, 0s, loss=2.349, max_pert=0.0, impr=4
17: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->5, n_ex=9, 0s, loss=2.347, max_pert=0.0, impr=3
18: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->5, n_ex=9, 0s, loss=2.343, max_pert=0.0, impr=4
19: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->5, n_ex=9, 0s, loss=2.341, max_pert=0.0, impr=4
20: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->5, n_ex=9, 0s, loss=2.340, max_pert=0.1, impr=2
21: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->5, n_ex=9, 0s, loss=2.319, max_pert=0.0, impr=7
22: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->5, n_ex=9, 0s, loss=2.317, max_pert=0.0, impr=2
23: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->5, n_ex=9, 0s, loss=2.316, max_pert=0.0, impr=2
24: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->5, n_ex=9, 0s, loss=2.314, max_pert=0.0, impr=2
25: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->5, n_ex=9, 0s, loss=2.312, max_pert=0.1, impr=3
26: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->5, n_ex=9, 0s, loss=2.307, max_pert=0.1, impr=3
27: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->5, n_ex=9, 0s, loss=2.303, max_pert=0.0, impr=5
28: acc=8.00% acc_corr=88.89% avg#q_ae=29.0 med#q_ae=29.0 s=6->5, n_ex=9, 0s, loss=2.299, max_pert=0.0, impr=5
29: acc=8.00% acc_corr=88.89% avg#q_ae=29.0 med#q_ae=29.0 s=6->5, n_ex=9, 0s, loss=2.297, max_pert=0.1, impr=3
30: acc=8.00% acc_corr=88.89% avg#q_ae=29.0 med#q_ae=29.0 s=6->5, n_ex=9, 0s, loss=2.292, max_pert=0.0, impr=5
31: acc=8.00% acc_corr=88.89% avg#q_ae=29.0 med#q_ae=29.0 s=6->5, n_ex=9, 0s, loss=2.289, max_pert=0.0, impr=2
32: acc=8.00% acc_corr=88.89% avg#q_ae=29.0 med#q_ae=29.0 s=6->5, n_ex=9, 0s, loss=2.288, max_pert=0.0, impr=1
33: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->5, n_ex=9, 0s, loss=2.283, max_pert=0.0, impr=5
34: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->5, n_ex=9, 0s, loss=2.281, max_pert=0.1, impr=2
35: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->5, n_ex=9, 0s, loss=2.281, max_pert=0.0, impr=3
36: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->5, n_ex=9, 0s, loss=2.275, max_pert=0.0, impr=5
37: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->5, n_ex=9, 0s, loss=2.274, max_pert=0.0, impr=4
38: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->5, n_ex=9, 0s, loss=2.272, max_pert=0.0, impr=2
39: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->5, n_ex=9, 0s, loss=2.269, max_pert=0.0, impr=4
40: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->5, n_ex=9, 0s, loss=2.268, max_pert=0.0, impr=1
41: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->5, n_ex=9, 0s, loss=2.268, max_pert=0.0, impr=2
42: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->5, n_ex=9, 0s, loss=2.266, max_pert=0.0, impr=3
43: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->5, n_ex=9, 0s, loss=2.266, max_pert=0.0, impr=4
44: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->5, n_ex=9, 0s, loss=2.265, max_pert=0.0, impr=2
45: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->5, n_ex=9, 0s, loss=2.263, max_pert=0.0, impr=4
46: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->5, n_ex=9, 0s, loss=2.262, max_pert=0.0, impr=2
47: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->5, n_ex=9, 0s, loss=2.262, max_pert=0.0, impr=1
48: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->5, n_ex=9, 0s, loss=2.261, max_pert=0.0, impr=2
49: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->5, n_ex=9, 0s, loss=2.261, max_pert=0.0, impr=1
50: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->5, n_ex=9, 0s, loss=2.260, max_pert=0.0, impr=3
51: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->5, n_ex=9, 0s, loss=2.258, max_pert=0.0, impr=2
52: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->3, n_ex=9, 0s, loss=2.258, max_pert=0.1, impr=1
53: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->3, n_ex=9, 0s, loss=2.257, max_pert=0.0, impr=3
54: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->3, n_ex=9, 0s, loss=2.255, max_pert=0.0, impr=3
55: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->3, n_ex=9, 0s, loss=2.254, max_pert=0.0, impr=3
56: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->3, n_ex=9, 0s, loss=2.252, max_pert=0.1, impr=3
57: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->3, n_ex=9, 0s, loss=2.252, max_pert=0.0, impr=2
58: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->3, n_ex=9, 0s, loss=2.249, max_pert=0.1, impr=1
59: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->3, n_ex=9, 0s, loss=2.248, max_pert=0.1, impr=2
60: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->3, n_ex=9, 0s, loss=2.247, max_pert=0.1, impr=3
61: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->3, n_ex=9, 0s, loss=2.247, max_pert=0.0, impr=2
62: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->3, n_ex=9, 0s, loss=2.245, max_pert=0.1, impr=3
63: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->3, n_ex=9, 0s, loss=2.245, max_pert=0.0, impr=2
64: acc=7.00% acc_corr=77.78% avg#q_ae=31.5 med#q_ae=31.5 s=6->3, n_ex=9, 0s, loss=2.244, max_pert=0.0, impr=1
65: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.244, max_pert=0.1, impr=1
66: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.243, max_pert=0.0, impr=2
67: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.241, max_pert=0.0, impr=2
68: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.234, max_pert=0.0, impr=3
69: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.234, max_pert=0.1, impr=1
70: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.234, max_pert=0.1, impr=2
71: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.233, max_pert=0.1, impr=3
72: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.231, max_pert=0.1, impr=2
73: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.230, max_pert=0.1, impr=2
74: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.228, max_pert=0.1, impr=3
75: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.228, max_pert=0.1, impr=1
76: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.228, max_pert=0.0, impr=1
77: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.228, max_pert=0.1, impr=1
78: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.227, max_pert=0.1, impr=4
79: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.227, max_pert=0.1, impr=0
80: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.226, max_pert=0.1, impr=3
81: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.208, max_pert=0.0, impr=4
82: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.208, max_pert=0.1, impr=2
83: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.207, max_pert=0.0, impr=2
84: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.206, max_pert=0.0, impr=2
85: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.204, max_pert=0.1, impr=3
86: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 0s, loss=2.204, max_pert=0.0, impr=3
87: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.204, max_pert=0.0, impr=0
88: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.204, max_pert=0.0, impr=1
89: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.204, max_pert=0.0, impr=0
90: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.203, max_pert=0.1, impr=2
91: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.197, max_pert=0.0, impr=2
92: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.196, max_pert=0.1, impr=2
93: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.196, max_pert=0.0, impr=0
94: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.195, max_pert=0.1, impr=3
95: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.194, max_pert=0.1, impr=2
